attack_family,attack_subtype,branch,files,total_size_bytes,total_size_readable
Benign,BenignTraffic,Flow-Based,1,99218013,94.62 MB
Benign,BenignTraffic,Packet-Based,1,365658072,348.72 MB
Benign,BenignTraffic1,Flow-Based,1,46444676,44.29 MB
Benign,BenignTraffic1,Packet-Based,1,397092624,378.70 MB
Benign,BenignTraffic2,Flow-Based,1,50213637,47.89 MB
Benign,BenignTraffic2,Packet-Based,1,394933663,376.64 MB
Benign,BenignTraffic3,Flow-Based,1,21396965,20.41 MB
Benign,BenignTraffic3,Packet-Based,1,397976147,379.54 MB
Brute Force,DictionaryBruteForce,Flow-Based,1,1746742,1.67 MB
Brute Force,DictionaryBruteForce,Packet-Based,1,164967707,157.33 MB
DDoS,DDoS-ACK-Fragmentation,Flow-Based,1,159613102,152.22 MB
DDoS,DDoS-ACK-Fragmentation,Packet-Based,1,382726394,365.00 MB
DDoS,DDoS-ACK-Fragmentation1,Flow-Based,1,70939690,67.65 MB
DDoS,DDoS-ACK-Fragmentation1,Packet-Based,1,373796088,356.48 MB
DDoS,DDoS-ACK-Fragmentation10,Flow-Based,1,85408284,81.45 MB
DDoS,DDoS-ACK-Fragmentation10,Packet-Based,1,376940872,359.48 MB
DDoS,DDoS-ACK-Fragmentation11,Flow-Based,1,101914829,97.19 MB
DDoS,DDoS-ACK-Fragmentation11,Packet-Based,1,373597760,356.29 MB
DDoS,DDoS-ACK-Fragmentation12,Flow-Based,1,19333520,18.44 MB
DDoS,DDoS-ACK-Fragmentation12,Packet-Based,1,379226054,361.66 MB
DDoS,DDoS-ACK-Fragmentation2,Flow-Based,1,62655736,59.75 MB
DDoS,DDoS-ACK-Fragmentation2,Packet-Based,1,375467016,358.07 MB
DDoS,DDoS-ACK-Fragmentation3,Flow-Based,1,88817841,84.70 MB
DDoS,DDoS-ACK-Fragmentation3,Packet-Based,1,379018438,361.46 MB
DDoS,DDoS-ACK-Fragmentation3.pcap-Flow-(1),Flow-Based,1,88817841,84.70 MB
DDoS,DDoS-ACK-Fragmentation4,Flow-Based,1,77640883,74.04 MB
DDoS,DDoS-ACK-Fragmentation4,Packet-Based,1,252602851,240.90 MB
DDoS,DDoS-ACK-Fragmentation5,Flow-Based,1,107458397,102.48 MB
DDoS,DDoS-ACK-Fragmentation5,Packet-Based,1,386711552,368.80 MB
DDoS,DDoS-ACK-Fragmentation6,Flow-Based,1,108091294,103.08 MB
DDoS,DDoS-ACK-Fragmentation6,Packet-Based,1,385502297,367.64 MB
DDoS,DDoS-ACK-Fragmentation7,Flow-Based,1,66183328,63.12 MB
DDoS,DDoS-ACK-Fragmentation7,Packet-Based,1,385710692,367.84 MB
DDoS,DDoS-ACK-Fragmentation8,Flow-Based,1,90984886,86.77 MB
DDoS,DDoS-ACK-Fragmentation8,Packet-Based,1,383331317,365.57 MB
DDoS,DDoS-ACK-Fragmentation9,Flow-Based,1,199082214,189.86 MB
DDoS,DDoS-ACK-Fragmentation9,Packet-Based,1,376137702,358.71 MB
DDoS,DDoS-HTTP-Flood,Flow-Based,1,246288916,234.88 MB
DDoS,DDoS-HTTP-Flood,Packet-Based,1,395133213,376.83 MB
DDoS,DDoS-ICMP-Flood,Flow-Based,1,5565737,5.31 MB
DDoS,DDoS-ICMP-Flood1,Flow-Based,1,4282020,4.08 MB
DDoS,DDoS-ICMP-Flood10,Flow-Based,1,4034821,3.85 MB
DDoS,DDoS-ICMP-Flood11,Flow-Based,1,4389260,4.19 MB
DDoS,DDoS-ICMP-Flood12,Flow-Based,1,3836585,3.66 MB
DDoS,DDoS-ICMP-Flood13,Flow-Based,1,2950077,2.81 MB
DDoS,DDoS-ICMP-Flood14,Flow-Based,1,3553907,3.39 MB
DDoS,DDoS-ICMP-Flood15,Flow-Based,1,5531382,5.28 MB
