file_name,relative_path,full_path,branch,attack_family,attack_subtype,size_bytes,size_readable,sample_rows_read,columns,numeric_columns,categorical_columns,label_column_detected,missing_values_sample,missing_ratio_sample,duplicate_rows_sample,read_status,error
DDoS-ACK_Fragmentation.pcap_Flow.csv,Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation.pcap_Flow.csv,D:\47\472\New-Papers\Atlam_4_2026\Data\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation,159613102,152.22 MB,30000,84,79,5,Label,0,0.0,2,success,
DDoS-ACK_Fragmentation1.pcap_Flow.csv,Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation1.pcap_Flow.csv,D:\47\472\New-Papers\Atlam_4_2026\Data\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation1.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation1,70939690,67.65 MB,30000,84,79,5,Label,1,3.9682539682539683e-07,2,success,
DDoS-ACK_Fragmentation10.pcap_Flow.csv,Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation10.pcap_Flow.csv,D:\47\472\New-Papers\Atlam_4_2026\Data\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation10.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation10,85408284,81.45 MB,30000,84,79,5,Label,4,1.5873015873015873e-06,3,success,
DDoS-ACK_Fragmentation11.pcap_Flow.csv,Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation11.pcap_Flow.csv,D:\47\472\New-Papers\Atlam_4_2026\Data\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation11.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation11,101914829,97.19 MB,30000,84,79,5,Label,0,0.0,0,success,
DDoS-ACK_Fragmentation12.pcap_Flow.csv,Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation12.pcap_Flow.csv,D:\47\472\New-Papers\Atlam_4_2026\Data\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation12.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation12,19333520,18.44 MB,30000,84,79,5,Label,2,7.936507936507937e-07,3,success,
DDoS-ACK_Fragmentation2.pcap_Flow.csv,Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation2.pcap_Flow.csv,D:\47\472\New-Papers\Atlam_4_2026\Data\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation2.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation2,62655736,59.75 MB,30000,84,79,5,Label,8,3.1746031746031746e-06,5,success,
DDoS-ACK_Fragmentation3.pcap_Flow (1).csv,Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation3.pcap_Flow (1).csv,D:\47\472\New-Papers\Atlam_4_2026\Data\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation3.pcap_Flow (1).csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation3.pcap-Flow-(1),88817841,84.70 MB,30000,84,79,5,Label,2,7.936507936507937e-07,7,success,
DDoS-ACK_Fragmentation3.pcap_Flow.csv,Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation3.pcap_Flow.csv,D:\47\472\New-Papers\Atlam_4_2026\Data\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation3.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation3,88817841,84.70 MB,30000,84,79,5,Label,2,7.936507936507937e-07,7,success,
DDoS-ACK_Fragmentation4.pcap_Flow.csv,Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation4.pcap_Flow.csv,D:\47\472\New-Papers\Atlam_4_2026\Data\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation4.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation4,77640883,74.04 MB,30000,84,79,5,Label,11,4.365079365079365e-06,3,success,
DDoS-ACK_Fragmentation5.pcap_Flow.csv,Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation5.pcap_Flow.csv,D:\47\472\New-Papers\Atlam_4_2026\Data\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation5.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation5,107458397,102.48 MB,30000,84,79,5,Label,0,0.0,0,success,
