feature,file_name,branch,attack_family,attack_subtype,dtype,missing_count_sample,missing_ratio_sample,unique_values_sample
Flow ID,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,object,0,0.0,18787
Src IP,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,object,0,0.0,116
Src Port,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,14119
Dst IP,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,object,0,0.0,506
Dst Port,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,514
Protocol,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,3
Timestamp,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,object,0,0.0,9734
Flow Duration,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,28699
Total Fwd Packet,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,255
Total Bwd packets,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,int64,0,0.0,215
Total Length of Fwd Packet,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,1389
Total Length of Bwd Packet,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,1027
Fwd Packet Length Max,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,493
Fwd Packet Length Min,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,84
Fwd Packet Length Mean,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,1863
Fwd Packet Length Std,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,1879
Bwd Packet Length Max,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,309
Bwd Packet Length Min,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,57
Bwd Packet Length Mean,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,1556
Bwd Packet Length Std,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,1582
Flow Bytes/s,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,2,6.666666666666667e-05,27908
Flow Packets/s,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,28766
Flow IAT Mean,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,29066
Flow IAT Std,BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,float64,0,0.0,26029
