file_name,branch,attack_family,attack_subtype,missing_values_sample,missing_ratio_sample,duplicate_rows_sample
BenignTraffic.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic,2,7.936507936507937e-07,0
BenignTraffic1.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic1,2,7.936507936507937e-07,4
BenignTraffic2.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic2,9,3.5714285714285714e-06,4
BenignTraffic3.pcap_Flow.csv,Flow-Based,Benign,BenignTraffic3,1,3.9682539682539683e-07,1
DictionaryBruteForce.pcap_Flow.csv,Flow-Based,Brute Force,DictionaryBruteForce,0,0.0,0
DDoS-ACK_Fragmentation.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation,0,0.0,2
DDoS-ACK_Fragmentation1.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation1,1,3.9682539682539683e-07,2
DDoS-ACK_Fragmentation10.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation10,4,1.5873015873015873e-06,3
DDoS-ACK_Fragmentation11.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation11,0,0.0,0
DDoS-ACK_Fragmentation12.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation12,2,7.936507936507937e-07,3
DDoS-ACK_Fragmentation2.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation2,8,3.1746031746031746e-06,5
DDoS-ACK_Fragmentation3.pcap_Flow (1).csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation3.pcap-Flow-(1),2,7.936507936507937e-07,7
DDoS-ACK_Fragmentation3.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation3,2,7.936507936507937e-07,7
DDoS-ACK_Fragmentation4.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation4,11,4.365079365079365e-06,3
DDoS-ACK_Fragmentation5.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation5,0,0.0,0
DDoS-ACK_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation6,0,0.0,0
DDoS-ACK_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation7,6,2.3809523809523808e-06,10
DDoS-ACK_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation8,5,1.984126984126984e-06,1
DDoS-ACK_Fragmentation9.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ACK-Fragmentation9,3,1.1904761904761904e-06,8
DDoS-ICMP_Flood.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood,30,3.429120087785474e-05,1
DDoS-ICMP_Flood1.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood1,2,2.881462399797145e-06,1
DDoS-ICMP_Flood10.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood10,14,2.205168915938961e-05,8
DDoS-ICMP_Flood11.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood11,20,2.8644759154865024e-05,8
DDoS-ICMP_Flood12.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood12,16,2.6440337378704954e-05,4
DDoS-ICMP_Flood13.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood13,24,5.14615067929189e-05,15
DDoS-ICMP_Flood14.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood14,26,4.709735385328812e-05,20
DDoS-ICMP_Flood15.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood15,36,4.151617054842861e-05,18
DDoS-ICMP_Flood16.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood16,64,7.418741595956786e-05,93
DDoS-ICMP_Flood17.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood17,9,2.307621303959878e-05,3
DDoS-ICMP_Flood18.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood18,0,0.0,1
DDoS-ICMP_Flood19.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood19,7,1.0261462053113327e-05,1
DDoS-ICMP_Flood2.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood2,10,1.0863991517395424e-05,8
DDoS-ICMP_Flood20.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood20,12,1.951067233776876e-05,2
DDoS-ICMP_Flood21.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood21,10,1.632354573531044e-05,9
DDoS-ICMP_Flood22.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood22,5,9.932222513567416e-06,2
DDoS-ICMP_Flood23.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood23,8,1.8339706381300836e-05,1
DDoS-ICMP_Flood24.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood24,19,3.735598285556997e-05,1
DDoS-ICMP_Flood25.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood25,6,7.564983205737283e-06,2
DDoS-ICMP_Flood26.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood26,0,0.0,0
DDoS-ICMP_Flood3.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood3,29,4.4007405384078425e-05,44
DDoS-ICMP_Flood4.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood4,28,2.058884084826024e-05,16
DDoS-ICMP_Flood5.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood5,8,1.2147716229348883e-05,0
DDoS-ICMP_Flood6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood6,3,7.466921537588483e-06,0
DDoS-ICMP_Flood7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood7,3,1.1009335916857496e-05,0
DDoS-ICMP_Flood8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood8,9,1.67123470820242e-05,3
DDoS-ICMP_Flood9.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Flood9,11,1.8828523501420697e-05,3
DDoS-HTTP_Flood-.pcap_Flow.csv,Flow-Based,DDoS,DDoS-HTTP-Flood,80,3.1746031746031745e-05,57
DDoS-ICMP_Fragmentation.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation,7,5.755461933374772e-06,11
DDoS-ICMP_Fragmentation1.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation1,8,5.448403617740002e-06,34
DDoS-ICMP_Fragmentation10.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation10,0,0.0,3
DDoS-ICMP_Fragmentation11.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation11,2,2.074181009628348e-06,4
DDoS-ICMP_Fragmentation12.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation12,3,1.9812651566784486e-06,30
DDoS-ICMP_Fragmentation13.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation13,2,1.8343238682221733e-06,0
DDoS-ICMP_Fragmentation14.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation14,2,1.7753727395066594e-06,54
DDoS-ICMP_Fragmentation15.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation15,7,8.426019548365353e-06,4
DDoS-ICMP_Fragmentation16.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation16,11,7.94180247148893e-06,24
DDoS-ICMP_Fragmentation17.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation17,18,7.142857142857143e-06,53
DDoS-ICMP_Fragmentation18.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation18,3,3.922060807630762e-06,3
DDoS-ICMP_Fragmentation19.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation19,3,3.257711001941596e-06,5
DDoS-ICMP_Fragmentation2.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation2,4,3.5372936873456857e-06,3
DDoS-ICMP_Fragmentation3.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation3,9,4.577776421399579e-06,19
DDoS-ICMP_Fragmentation4.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation4,17,7.907668205405869e-06,33
DDoS-ICMP_Fragmentation5.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation5,4,4.485169786102253e-06,13
DDoS-ICMP_Fragmentation6.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation6,0,0.0,0
DDoS-ICMP_Fragmentation7.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation7,2,1.6726044123304398e-06,3
DDoS-ICMP_Fragmentation8.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation8,4,3.787706619396088e-06,4
DDoS-ICMP_Fragmentation9.pcap_Flow.csv,Flow-Based,DDoS,DDoS-ICMP-Fragmentation9,11,6.425533903453432e-06,14
DoS-SYN_Flood.pcap_Flow.csv,Flow-Based,DoS,DoS-SYN-Flood,1,3.9682539682539683e-07,0
DoS-SYN_Flood1.pcap_Flow.csv,Flow-Based,DoS,DoS-SYN-Flood1,2,7.936507936507937e-07,0
DoS-SYN_Flood2.pcap_Flow.csv,Flow-Based,DoS,DoS-SYN-Flood2,23,9.126984126984127e-06,7
DoS-SYN_Flood3.pcap_Flow.csv,Flow-Based,DoS,DoS-SYN-Flood3,38,1.5079365079365079e-05,3
DoS-SYN_Flood4.pcap_Flow.csv,Flow-Based,DoS,DoS-SYN-Flood4,6,2.3809523809523808e-06,0
DoS-SYN_Flood5.pcap_Flow.csv,Flow-Based,DoS,DoS-SYN-Flood5,39,1.5476190476190476e-05,7
