Branch,Feature
Packet-Based,average_p
Packet-Based,channel_10_count
Packet-Based,channel_10_mean
Packet-Based,channel_10_var
Packet-Based,channel_1_count
Packet-Based,channel_1_mean
Packet-Based,channel_1_var
Packet-Based,channel_30_count
Packet-Based,channel_30_mean
Packet-Based,channel_30_var
Packet-Based,channel_5_count
Packet-Based,channel_5_mean
Packet-Based,channel_5_var
Packet-Based,channel_60_count
Packet-Based,channel_60_mean
Packet-Based,channel_60_var
Packet-Based,dst_port
Packet-Based,eth_size
Packet-Based,inter_arrival_time
Packet-Based,jitter
Packet-Based,l3_ip_dst_count
Packet-Based,l4_tcp
Packet-Based,l4_udp
Packet-Based,max_p
Packet-Based,med_p
Packet-Based,min_e
Packet-Based,min_et
Packet-Based,min_p
Packet-Based,most_freq_spot
Packet-Based,payload_entropy
Packet-Based,payload_length
Packet-Based,port_class_dst
Packet-Based,q1
Packet-Based,q1_e
Packet-Based,q1_p
Packet-Based,q3_p
Packet-Based,src_ip_10_count
Packet-Based,src_ip_10_mean
Packet-Based,src_ip_10_var
Packet-Based,src_ip_1_count
Packet-Based,src_ip_1_mean
Packet-Based,src_ip_1_var
Packet-Based,src_ip_30_count
Packet-Based,src_ip_30_mean
Packet-Based,src_ip_30_var
Packet-Based,src_ip_5_count
Packet-Based,src_ip_5_mean
Packet-Based,src_ip_5_var
Packet-Based,src_ip_60_count
Packet-Based,src_ip_60_mean
Packet-Based,src_ip_60_var
Packet-Based,src_ip_mac_10_count
Packet-Based,src_ip_mac_10_mean
Packet-Based,src_ip_mac_10_var
Packet-Based,src_ip_mac_1_count
Packet-Based,src_ip_mac_1_mean
Packet-Based,src_ip_mac_1_var
Packet-Based,src_ip_mac_30_count
Packet-Based,src_ip_mac_30_mean
Packet-Based,src_ip_mac_30_var
Packet-Based,src_ip_mac_5_count
Packet-Based,src_ip_mac_5_mean
Packet-Based,src_ip_mac_5_var
Packet-Based,src_ip_mac_60_count
Packet-Based,src_ip_mac_60_mean
Packet-Based,src_ip_mac_60_var
Packet-Based,src_port
Packet-Based,stream
Packet-Based,stream_10_count
Packet-Based,stream_10_mean
Packet-Based,stream_10_var
Packet-Based,stream_1_count
Packet-Based,stream_1_mean
Packet-Based,stream_1_var
Packet-Based,stream_30_count
Packet-Based,stream_30_mean
Packet-Based,stream_30_var
Packet-Based,stream_5_count
Packet-Based,stream_5_mean
Packet-Based,stream_5_var
Packet-Based,stream_60_count
Packet-Based,stream_60_mean
Packet-Based,stream_60_var
Packet-Based,stream_jitter_10_mean
Packet-Based,stream_jitter_10_sum
Packet-Based,stream_jitter_10_var
Packet-Based,stream_jitter_1_mean
Packet-Based,stream_jitter_1_sum
Packet-Based,stream_jitter_1_var
Packet-Based,stream_jitter_30_mean
Packet-Based,stream_jitter_30_sum
