Model,Accuracy,Precision,Recall,F1,ROC_AUC,Training_Time_Seconds,Inference_Time_Seconds,Branch,Selection_Method,Total_Features,Selected_Features,Reduction_Percent,Feature_Selection_Time_Seconds
RandomForest,0.9921354166666667,0.999260276867801,0.985,0.9920788962912448,0.9997782389322917,2.88594651222229,0.04701876640319824,Packet-Based,All_Features,103,103,0.0,0.0
ExtraTrees,0.9920833333333333,0.998417387634522,0.9857291666666667,0.9920327078310095,0.9997172905815972,0.624732255935669,0.036590576171875,Packet-Based,All_Features,103,103,0.0,0.0
RandomForest,0.9890625,0.9984076433121019,0.9796875,0.9889589905362776,0.9993577853732638,1.6684186458587646,0.03113698959350586,Packet-Based,Mutual_Information,103,30,70.87378640776699,18.90075135231018
ExtraTrees,0.9891145833333334,0.9987254381306426,0.9794791666666667,0.989008677359979,0.9992903049045139,0.3848731517791748,0.03104233741760254,Packet-Based,Mutual_Information,103,30,70.87378640776699,18.90075135231018
RandomForest,0.9920833333333333,0.9986278235169939,0.9855208333333333,0.992031037013736,0.9997269639756944,1.450324535369873,0.03152608871459961,Packet-Based,RandomForest_Importance,103,30,70.87378640776699,3.2041783332824707
ExtraTrees,0.9921354166666667,0.9978922963431341,0.9863541666666666,0.9920896851589921,0.9996179307725694,0.30486416816711426,0.031807661056518555,Packet-Based,RandomForest_Importance,103,30,70.87378640776699,3.2041783332824707
RandomForest,0.9894270833333333,0.9987262498673177,0.9801041666666667,0.9893275853004574,0.9993532823350695,0.8848538398742676,0.03176236152648926,Packet-Based,HHO,103,11,89.32038834951457,17.260987043380737
ExtraTrees,0.9871875,0.9981891776736259,0.9761458333333334,0.9870444491257636,0.9992301649305555,0.21780896186828613,0.031435489654541016,Packet-Based,HHO,103,11,89.32038834951457,17.260987043380737
RandomForest,0.9934895833333334,0.9995781925550986,0.9873958333333334,0.9934496672430959,0.9997320258246529,1.2763926982879639,0.05098414421081543,Packet-Based,GWO,103,35,66.01941747572815,23.32222080230713
ExtraTrees,0.9919270833333333,0.9981014660900749,0.9857291666666667,0.9918767360201247,0.9997714898003472,0.3425109386444092,0.05156373977661133,Packet-Based,GWO,103,35,66.01941747572815,23.32222080230713
RandomForest,0.9913020833333334,0.9992590240287922,0.9833333333333333,0.991232215046989,0.9995304361979167,1.7152454853057861,0.03133678436279297,Packet-Based,Hybrid_HHO_GWO,103,40,61.165048543689316,44.730881452560425
ExtraTrees,0.99046875,0.9980958425896541,0.9828125,0.990395213352228,0.9995241644965278,0.3432588577270508,0.032000064849853516,Packet-Based,Hybrid_HHO_GWO,103,40,61.165048543689316,44.730881452560425
RandomForest,0.955,0.966268146883006,0.9429166666666666,0.9544495993251793,0.9882648925781249,1.8230905532836914,0.04781460762023926,Flow-Based,All_Features,70,70,0.0,0.0
ExtraTrees,0.9546875,0.9655503412969283,0.9430208333333333,0.9541526138279932,0.9861436089409722,0.6615443229675293,0.04687690734863281,Flow-Based,All_Features,70,70,0.0,0.0
RandomForest,0.9525,0.9624228230785608,0.9417708333333333,0.9519848373170475,0.9878576009114582,1.2900762557983398,0.031122446060180664,Flow-Based,Mutual_Information,70,21,70.0,10.35687518119812
ExtraTrees,0.9527604166666667,0.9616569304301646,0.943125,0.9523008151459375,0.9864610677083334,0.33995985984802246,0.047357797622680664,Flow-Based,Mutual_Information,70,21,70.0,10.35687518119812
RandomForest,0.9466666666666667,0.9545261818952724,0.9380208333333333,0.9462015340968792,0.9845488661024305,1.3634278774261475,0.03123784065246582,Flow-Based,RandomForest_Importance,70,21,70.0,1.8807151317596436
ExtraTrees,0.94703125,0.9530243850944791,0.9404166666666667,0.9466785508310177,0.9823679741753472,0.3759737014770508,0.04734063148498535,Flow-Based,RandomForest_Importance,70,21,70.0,1.8807151317596436
RandomForest,0.95140625,0.96224,0.9396875,0.9508300395256917,0.9871348307291667,1.2834079265594482,0.047681570053100586,Flow-Based,HHO,70,30,57.14285714285714,19.134153127670288
ExtraTrees,0.9511458333333334,0.9611371379897785,0.9403125,0.9506107834877844,0.9853144802517362,0.4054379463195801,0.04776334762573242,Flow-Based,HHO,70,30,57.14285714285714,19.134153127670288
RandomForest,0.9533333333333334,0.9620938628158845,0.9438541666666667,0.9528867388789568,0.9871833007812499,1.1133224964141846,0.047486066818237305,Flow-Based,GWO,70,28,60.0,18.394574880599976
ExtraTrees,0.9527604166666667,0.9628367585986582,0.941875,0.9522405349902585,0.9844609157986112,0.4415714740753174,0.04696369171142578,Flow-Based,GWO,70,28,60.0,18.394574880599976
RandomForest,0.9469270833333333,0.9526321341913704,0.940625,0.9465904921641596,0.9842033094618056,1.4339532852172852,0.07856178283691406,Flow-Based,Hybrid_HHO_GWO,70,16,77.14285714285715,42.36870718002319
ExtraTrees,0.9457291666666666,0.9517525337837838,0.9390625,0.9453649328859061,0.9824693305121527,0.39792728424072266,0.048769235610961914,Flow-Based,Hybrid_HHO_GWO,70,16,77.14285714285715,42.36870718002319
