Branch,Selection_Method,Feature
Packet-Based,All_Features,average_p
Packet-Based,All_Features,channel_10_count
Packet-Based,All_Features,channel_10_mean
Packet-Based,All_Features,channel_10_var
Packet-Based,All_Features,channel_1_count
Packet-Based,All_Features,channel_1_mean
Packet-Based,All_Features,channel_1_var
Packet-Based,All_Features,channel_30_count
Packet-Based,All_Features,channel_30_mean
Packet-Based,All_Features,channel_30_var
Packet-Based,All_Features,channel_5_count
Packet-Based,All_Features,channel_5_mean
Packet-Based,All_Features,channel_5_var
Packet-Based,All_Features,channel_60_count
Packet-Based,All_Features,channel_60_mean
Packet-Based,All_Features,channel_60_var
Packet-Based,All_Features,dst_port
Packet-Based,All_Features,eth_size
Packet-Based,All_Features,inter_arrival_time
Packet-Based,All_Features,jitter
Packet-Based,All_Features,l3_ip_dst_count
Packet-Based,All_Features,l4_tcp
Packet-Based,All_Features,max_p
Packet-Based,All_Features,med_p
Packet-Based,All_Features,min_e
Packet-Based,All_Features,min_et
Packet-Based,All_Features,min_p
Packet-Based,All_Features,most_freq_spot
Packet-Based,All_Features,payload_entropy
Packet-Based,All_Features,payload_length
Packet-Based,All_Features,port_class_dst
Packet-Based,All_Features,q1
Packet-Based,All_Features,q1_e
Packet-Based,All_Features,q1_p
Packet-Based,All_Features,q3_p
Packet-Based,All_Features,src_ip_10_count
Packet-Based,All_Features,src_ip_10_mean
Packet-Based,All_Features,src_ip_10_var
Packet-Based,All_Features,src_ip_1_count
Packet-Based,All_Features,src_ip_1_mean
Packet-Based,All_Features,src_ip_1_var
Packet-Based,All_Features,src_ip_30_count
Packet-Based,All_Features,src_ip_30_mean
Packet-Based,All_Features,src_ip_30_var
Packet-Based,All_Features,src_ip_5_count
Packet-Based,All_Features,src_ip_5_mean
Packet-Based,All_Features,src_ip_5_var
Packet-Based,All_Features,src_ip_60_count
Packet-Based,All_Features,src_ip_60_mean
Packet-Based,All_Features,src_ip_60_var
Packet-Based,All_Features,src_ip_mac_10_count
Packet-Based,All_Features,src_ip_mac_10_mean
Packet-Based,All_Features,src_ip_mac_10_var
Packet-Based,All_Features,src_ip_mac_1_count
Packet-Based,All_Features,src_ip_mac_1_mean
Packet-Based,All_Features,src_ip_mac_1_var
Packet-Based,All_Features,src_ip_mac_30_count
Packet-Based,All_Features,src_ip_mac_30_mean
Packet-Based,All_Features,src_ip_mac_30_var
Packet-Based,All_Features,src_ip_mac_5_count
Packet-Based,All_Features,src_ip_mac_5_mean
Packet-Based,All_Features,src_ip_mac_5_var
Packet-Based,All_Features,src_ip_mac_60_count
Packet-Based,All_Features,src_ip_mac_60_mean
Packet-Based,All_Features,src_ip_mac_60_var
Packet-Based,All_Features,src_port
Packet-Based,All_Features,stream
Packet-Based,All_Features,stream_10_count
Packet-Based,All_Features,stream_10_mean
Packet-Based,All_Features,stream_10_var
Packet-Based,All_Features,stream_1_count
Packet-Based,All_Features,stream_1_mean
Packet-Based,All_Features,stream_1_var
Packet-Based,All_Features,stream_30_count
Packet-Based,All_Features,stream_30_mean
Packet-Based,All_Features,stream_30_var
Packet-Based,All_Features,stream_5_count
Packet-Based,All_Features,stream_5_mean
Packet-Based,All_Features,stream_5_var
Packet-Based,All_Features,stream_60_count
Packet-Based,All_Features,stream_60_mean
Packet-Based,All_Features,stream_60_var
Packet-Based,All_Features,stream_jitter_10_mean
Packet-Based,All_Features,stream_jitter_10_sum
Packet-Based,All_Features,stream_jitter_10_var
Packet-Based,All_Features,stream_jitter_1_mean
Packet-Based,All_Features,stream_jitter_1_sum
Packet-Based,All_Features,stream_jitter_1_var
Packet-Based,All_Features,stream_jitter_30_mean
Packet-Based,All_Features,stream_jitter_30_sum
Packet-Based,All_Features,stream_jitter_30_var
Packet-Based,All_Features,stream_jitter_5_mean
Packet-Based,All_Features,stream_jitter_5_sum
Packet-Based,All_Features,stream_jitter_5_var
Packet-Based,All_Features,stream_jitter_60_mean
Packet-Based,All_Features,stream_jitter_60_sum
Packet-Based,All_Features,stream_jitter_60_var
Packet-Based,All_Features,sum_p
Packet-Based,All_Features,tcp_window_size
Packet-Based,All_Features,time_since_previously_displayed_frame
Packet-Based,All_Features,ttl
Packet-Based,All_Features,var_e
Packet-Based,All_Features,var_p
Packet-Based,Mutual_Information,average_p
Packet-Based,Mutual_Information,channel_10_mean
Packet-Based,Mutual_Information,channel_10_var
