Iteration,Best_Fitness,Selected_Features,Model_Type,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,Branch
1,0.06254725836280525,50,RandomForest,97,10,5,4,0.5,Packet-Based
2,0.044066418081718746,17,RandomForest,95,6,5,4,0.5,Packet-Based
3,0.04005371093231987,8,RandomForest,93,6,5,2,0.5,Packet-Based
4,0.03709230044775605,10,RandomForest,125,14,4,3,0.5,Packet-Based
5,0.03704441220863254,10,RandomForest,124,14,4,3,0.5,Packet-Based
6,0.03302922598262711,13,RandomForest,109,14,4,2,0.5,Packet-Based
7,0.030714690962390254,8,RandomForest,120,19,5,2,0.5,Packet-Based
8,0.030714690962390254,8,RandomForest,120,19,5,2,0.5,Packet-Based
9,0.030714690962390254,8,RandomForest,120,19,5,2,0.5,Packet-Based
10,0.03051459546022186,8,RandomForest,118,18,4,2,0.5,Packet-Based
11,0.03051459546022186,8,RandomForest,118,18,4,2,0.5,Packet-Based
12,0.03040648818927197,8,RandomForest,119,19,4,2,0.5,Packet-Based
13,0.03040648818927197,8,RandomForest,119,19,4,2,0.5,Packet-Based
14,0.03014591154402571,8,RandomForest,119,20,4,2,0.5,Packet-Based
15,0.03014591154402571,8,RandomForest,119,20,4,2,0.5,Packet-Based
1,0.10634261411301826,35,RandomForest,93,15,8,2,0.5,Flow-Based
2,0.09137396860351256,22,RandomForest,71,14,7,2,0.5,Flow-Based
3,0.09137396860351256,22,RandomForest,71,14,7,2,0.5,Flow-Based
4,0.0873573594386609,18,RandomForest,64,13,7,2,0.5,Flow-Based
5,0.0824795899680432,11,RandomForest,63,12,7,2,0.5,Flow-Based
6,0.0824795899680432,11,RandomForest,63,12,7,2,0.5,Flow-Based
7,0.0824795899680432,11,RandomForest,63,12,7,2,0.5,Flow-Based
8,0.08161407058894306,10,RandomForest,59,12,7,1,0.5,Flow-Based
9,0.08059791815351347,10,RandomForest,53,12,7,1,0.5,Flow-Based
10,0.07874503631961265,9,RandomForest,49,12,7,1,0.5,Flow-Based
11,0.07874503631961265,9,RandomForest,49,12,7,1,0.5,Flow-Based
12,0.07874503631961265,9,RandomForest,49,12,7,1,0.5,Flow-Based
13,0.07874503631961265,9,RandomForest,49,12,7,1,0.5,Flow-Based
14,0.07874503631961265,9,RandomForest,49,12,7,1,0.5,Flow-Based
15,0.07874503631961265,9,RandomForest,49,12,7,1,0.5,Flow-Based
