Branch,Test_Family,Samples,Expected_Label,Detection_Rate,Miss_or_False_Alarm_Rate
Packet-Based,Benign,48000,Benign,0.9999375,6.25e-05
Packet-Based,Brute Force,12000,Attack,0.31183333333333335,0.6881666666666667
Packet-Based,DoS,456000,Attack,0.9873092105263158,0.01269078947368421
Packet-Based,Mirai,264000,Attack,0.9811818181818182,0.018818181818181817
Packet-Based,Recon,60000,Attack,0.5913666666666667,0.40863333333333335
Packet-Based,Spoofing,36000,Attack,0.6823611111111111,0.3176388888888889
Packet-Based,Web-Based,60000,Attack,0.17125,0.82875
Flow-Based,Benign,48000,Benign,0.9615208333333334,0.03847916666666667
Flow-Based,Brute Force,3619,Attack,0.9516441005802708,0.048355899419729204
Flow-Based,DoS,300000,Attack,0.6658566666666667,0.33414333333333335
Flow-Based,Mirai,174509,Attack,0.9195858093278857,0.08041419067211433
Flow-Based,Recon,12000,Attack,0.8629166666666667,0.13708333333333333
Flow-Based,Spoofing,33349,Attack,0.5128489609883354,0.4871510390116645
Flow-Based,Web-Based,11328,Attack,0.7484110169491526,0.2515889830508475
